france-supermarkets.gpx:155644: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://recherche.magasins-u.com/?partnerName=SU_SVC_MAGASINSU%26hideGasStations=true%26zipCode=97123%26city=Baillif%26backlink=https%3A%2F%2Fwww.magasins-u.com%2Flanding%2FsetMagasinContext.m%7BCODE_MAG%7D.html%26backurl=https%3A%2F%2Fwww.magasins-u.com%2Fmagasin%' is not a valid value of the atomic type 'xs:anyURI'.
germany-caravansites.gpx:29886: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.nehren.de/index.php?id=189%26publish[objectId]=335575' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:1106: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'http://www.westfalen-ag.de/tankstellen/stationlist/stationmap.html?tx_ptpetrolstation_station[station]=610350' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:9432: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.westfalen-ag.de/tankstellen/stationlist/stationsingle.html?tx_ptpetrolstation_station[controller]=Station%26tx_ptpetrolstation_station[action]=showStation%26tx_ptpetrolstation_station[station]=610285' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:15183: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'http://www.star-tankstellen.de/tanken/tankstellenfinder.html?user_astfinder_pi1[tsid]=527' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:77142: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.q1.eu/tankstellen/kraftstoffpreise.html?tx_q1tankstellenfinder_pi1[station_id]=46' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:81438: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'http://www.star-tankstellen.de/index.php?id=18%26user_astfinder_pi1[tsid]=523' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:94466: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.tank-netz.de/service/online-services/tankstellensuche/tankstelle/?tx_dcstationnet_pi1[station]=84%26tx_dcstationnet_pi1[action]=show%26tx_dcstationnet_pi1[controller]=Station%26no_cache=1' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:94504: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.tank-netz.de/service/online-services/tankstellensuche/tankstelle/?tx_dcstationnet_pi1[station]=1047%26tx_dcstationnet_pi1[action]=show%26tx_dcstationnet_pi1[controller]=Station%26no_cache=1' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:102072: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.rwg-erdinger-land.de/standorte/details/?tx_lfplaces_placeskey[uid]=6%26cHash=472d17cd136d8692f875c9c124a2293e' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:118815: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.go-sprint.de/tankstelle.html?--w4_sprintstations-joblist[station][__identity]=141' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:127151: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.go-sprint.de/tankstelle.html?--w4_sprintstations-joblist[station][__identity]=16' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:129656: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://go-sprint.de/tankstelle.html?--w4_sprintstations-joblist[station][__identity]=233' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:131444: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://go-sprint.de/tankstelle.html?--w4_sprintstations-joblist[@package]=w4.sprintstations%26--w4_sprintstations-joblist[@controller]=station%26--w4_sprintstations-joblist[@action]=show%26--w4_sprintstations-joblist[@format]=html%26--w4_sprintstations-joblist[s' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:151638: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'http://www.star-tankstellen.de/tanken/tankstellenfinder.html?user_astfinder_pi1[tsid]=265' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:182419: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'http://www.star-tankstellen.de/tanken/tankstellenfinder.html?user_astfinder_pi1[tsid]=107' is not a valid value of the atomic type 'xs:anyURI'.
germany-fuel.gpx:191318: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://go-sprint.de/tankstelle.html?--w4_sprintstations-joblist[station][__identity]=269' is not a valid value of the atomic type 'xs:anyURI'.
italy-caravansites.gpx:12132: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.comune.bore.pr.it/servizi-informazioni/area-camper-contenuto#!#' is not a valid value of the atomic type 'xs:anyURI'.
switzerland-supermarkets.gpx:7267: Schemas validity error : Element '{http://www.topografix.com/GPX/1/1}link', attribute 'href': 'https://www.volg.ch/standorte-oeffnungszeiten/detail/volg-sent/?tx_kochvolgstores_storedetail[location]=Sent%2C%20Scuol%2C%20Schweiz' is not a valid value of the atomic type 'xs:anyURI'.
